frame,time,pitch,freq,noteStr
2,0.0116099773243,-100.0,-100.0,null
3,0.0174149659864,-100.0,-100.0,null
4,0.0232199546485,-100.0,-100.0,null
5,0.0290249433107,-100.0,-100.0,null
6,0.0348299319728,-100.0,-100.0,null
7,0.0406349206349,-100.0,-100.0,null
8,0.0464399092971,-100.0,-100.0,null
9,0.0522448979592,-100.0,-100.0,null
10,0.0580498866213,-100.0,-100.0,null
11,0.0638548752834,-100.0,-100.0,null
12,0.0696598639456,-100.0,-100.0,null
13,0.0754648526077,-100.0,-100.0,null
14,0.0812698412698,-100.0,-100.0,null
15,0.087074829932,-100.0,-100.0,null
16,0.0928798185941,-100.0,-100.0,null
17,0.0986848072562,-100.0,-100.0,null
18,0.104489795918,-100.0,-100.0,null
19,0.11029478458,-100.0,-100.0,null
20,0.116099773243,-100.0,-100.0,null
21,0.121904761905,-100.0,-100.0,null
22,0.127709750567,-100.0,-100.0,null
23,0.133514739229,-100.0,-100.0,null
24,0.139319727891,-100.0,-100.0,null
25,0.145124716553,-100.0,-100.0,null
26,0.150929705215,-100.0,-100.0,null
27,0.156734693878,-100.0,-100.0,null
28,0.16253968254,-100.0,-100.0,null
29,0.168344671202,-100.0,-100.0,null
30,0.174149659864,-100.0,-100.0,null
31,0.179954648526,-100.0,-100.0,null
32,0.185759637188,-100.0,-100.0,null
33,0.19156462585,-100.0,-100.0,null
34,0.197369614512,-100.0,-100.0,null
35,0.203174603175,-100.0,-100.0,null
36,0.208979591837,-100.0,-100.0,null
37,0.214784580499,-100.0,-100.0,null
38,0.220589569161,-100.0,-100.0,null
39,0.226394557823,-100.0,-100.0,null
40,0.232199546485,-100.0,-100.0,null
41,0.238004535147,-100.0,-100.0,null
42,0.24380952381,-100.0,-100.0,null
43,0.249614512472,-100.0,-100.0,null
44,0.255419501134,-100.0,-100.0,null
45,0.261224489796,-100.0,-100.0,null
46,0.267029478458,-100.0,-100.0,null
47,0.27283446712,-100.0,-100.0,null
48,0.278639455782,-100.0,-100.0,null
49,0.284444444444,-100.0,-100.0,null
50,0.290249433107,-100.0,-100.0,null
51,0.296054421769,-100.0,-100.0,null
52,0.301859410431,-100.0,-100.0,null
53,0.307664399093,-100.0,-100.0,null
54,0.313469387755,-100.0,-100.0,null
55,0.319274376417,-100.0,-100.0,null
56,0.325079365079,-100.0,-100.0,null
57,0.330884353741,-100.0,-100.0,null
58,0.336689342404,-100.0,-100.0,null
59,0.342494331066,-100.0,-100.0,null
60,0.348299319728,-100.0,-100.0,null
61,0.35410430839,-100.0,-100.0,null
62,0.359909297052,-100.0,-100.0,null
63,0.365714285714,-100.0,-100.0,null
64,0.371519274376,-100.0,-100.0,null
65,0.377324263039,-100.0,-100.0,null
66,0.383129251701,-100.0,-100.0,null
67,0.388934240363,-100.0,-100.0,null
68,0.394739229025,-100.0,-100.0,null
69,0.400544217687,-100.0,-100.0,null
70,0.406349206349,-100.0,-100.0,null
71,0.412154195011,-100.0,-100.0,null
72,0.417959183673,-100.0,-100.0,null
73,0.423764172336,-100.0,-100.0,null
74,0.429569160998,-100.0,-100.0,null
75,0.43537414966,-100.0,-100.0,null
76,0.441179138322,-100.0,-100.0,null
77,0.446984126984,-100.0,-100.0,null
78,0.452789115646,-100.0,-100.0,null
79,0.458594104308,-100.0,-100.0,null
80,0.464399092971,63.1428933475,313.705604254,D#4+14.3c
81,0.470204081633,63.3996708794,318.393179286,D#4+40.0c
82,0.476009070295,63.6401375203,322.8464844,E4-36.0c
83,0.481814058957,63.8639770001,327.047822084,E4-13.6c
84,0.487619047619,64.0708730488,330.979748097,E4+7.1c
85,0.493424036281,64.2605093961,334.625171537,E4+26.0c
86,0.499229024943,64.432569772,337.967457581,E4+43.3c
87,0.505034013605,64.5867379064,340.990532218,F4-41.3c
88,0.510839002268,64.7226975291,343.678988215,F4-27.7c
89,0.51664399093,64.84013237,346.018191516,F4-16.0c
90,0.522448979592,64.938726159,347.994387191,F4-6.1c
91,0.528253968254,65.018162626,349.594804061,F4+1.8c
92,0.534058956916,64.933704974,347.893471266,F4-6.6c
93,0.539863945578,64.8137939275,345.492170716,F4-18.6c
94,0.54566893424,64.7104730512,343.436397489,F4-29.0c
95,0.551473922902,64.6224592036,341.694839022,F4-37.8c
96,0.557278911565,64.5484692438,340.237610354,F4-45.2c
97,0.563083900227,64.4872200305,339.036012809,E4+48.7c
98,0.568888888889,64.4374284225,338.062320328,E4+43.7c
99,0.574693877551,64.3978112786,337.289591125,E4+39.8c
100,0.580498866213,64.3670854578,336.691502816,E4+36.7c
101,0.586303854875,64.3439678187,336.24220954,E4+34.4c
102,0.592108843537,64.3271752203,335.916219946,E4+32.7c
103,0.5979138322,64.3154245214,335.688295184,E4+31.5c
104,0.603718820862,64.3074325807,335.533366288,E4+30.7c
105,0.609523809524,64.3019162572,335.42647053,E4+30.2c
106,0.615328798186,64.2975924096,335.342706475,E4+29.8c
107,0.621133786848,64.2931778967,335.257207582,E4+29.3c
108,0.62693877551,64.2873895775,335.145134268,E4+28.7c
109,0.632743764172,64.2789443106,334.981684395,E4+27.9c
110,0.638548752834,64.266558955,334.742122126,E4+26.7c
111,0.644353741497,64.2489503695,334.401825058,E4+24.9c
112,0.650158730159,64.2248354128,333.936349477,E4+22.5c
113,0.655963718821,64.1929309439,333.321513437,E4+19.3c
114,0.661768707483,64.1519538215,332.533497237,E4+15.2c
115,0.667573696145,64.1006209045,331.548960664,E4+10.1c
116,0.673378684807,64.0647095341,330.861934134,E4+6.5c
117,0.679183673469,64.1058203703,331.648550688,E4+10.6c
118,0.684988662132,64.1654938054,332.79367346,E4+16.5c
119,0.690793650794,64.2385569083,334.201127221,E4+23.9c
120,0.696598639456,64.3198367481,335.773859676,E4+32.0c
121,0.702403628118,64.4041603936,337.413311146,E4+40.4c
122,0.70820861678,64.4863549138,339.019071232,E4+48.6c
123,0.714013605442,64.5612473777,340.48883038,F4-43.9c
124,0.719818594104,64.6236648543,341.718635859,F4-37.6c
125,0.725623582766,64.6684344124,342.603460785,F4-33.2c
126,0.731428571429,64.690383121,343.03809135,F4-31.0c
127,0.737233560091,64.6843380491,342.918331233,F4-31.6c
128,0.743038548753,64.6576253499,342.389621046,F4-34.2c
129,0.748843537415,64.6490122536,342.219320484,F4-35.1c
130,0.754648526077,64.6248200666,341.741438711,F4-37.5c
131,0.760453514739,64.5868686985,340.993108359,F4-41.3c
132,0.766258503401,64.5369780593,340.011850244,F4-46.3c
133,0.772063492063,64.4769680586,338.835302875,E4+47.7c
134,0.777868480726,64.4086586063,337.50099161,E4+40.9c
135,0.783673469388,64.3338696123,336.046138235,E4+33.4c
136,0.78947845805,64.2544209861,334.507511129,E4+25.4c
137,0.795283446712,64.1721326377,332.921315651,E4+17.2c
138,0.801088435374,64.0888244769,331.323124006,E4+8.9c
139,0.806893424036,64.0063164133,329.747843581,E4+0.6c
140,0.812698412698,63.9264283569,328.229722571,E4-7.4c
141,0.818503401361,63.8509802174,326.802391698,E4-14.9c
142,0.824308390023,63.7817919045,325.498940885,E4-21.8c
143,0.830113378685,63.7206833281,324.352029914,E4-27.9c
144,0.835918367347,63.669474398,323.39403239,E4-33.1c
145,0.841723356009,63.6055230529,322.20162678,E4-39.5c
146,0.847528344671,63.6934983968,323.843111528,E4-30.7c
147,0.853333333333,63.7807482803,325.479319718,E4-21.9c
148,0.859138321995,63.8673779053,327.112074972,E4-13.3c
149,0.864943310658,63.9534924735,328.743240351,E4-4.7c
150,0.87074829932,64.0391971869,330.374718208,E4+3.9c
151,0.876553287982,64.1245972472,332.008450165,E4+12.5c
152,0.882358276644,64.2097978563,333.646417189,E4+21.0c
153,0.888163265306,64.294904216,335.290639794,E4+29.5c
154,0.893968253968,64.3800215282,336.943178356,E4+38.0c
155,0.89977324263,64.4652549947,338.606133558,E4+46.5c
156,0.905578231293,64.5507098174,340.281646962,F4-44.9c
157,0.911383219955,64.636491198,341.971901715,F4-36.4c
158,0.917188208617,64.7227043385,343.679123393,F4-27.7c
159,0.922993197279,64.8094544406,345.405580986,F4-19.1c
160,0.928798185941,64.8968467062,347.153588032,F4-10.3c
161,0.934603174603,64.9849863372,348.925503903,F4-1.5c
162,0.940408163265,65.0739785353,350.723735247,F4+7.4c
163,0.946213151927,65.1639285024,352.550737594,F4+16.4c
164,0.95201814059,65.2549414404,354.40901713,F4+25.5c
165,0.957823129252,65.3471225511,356.301132648,F4+34.7c
166,0.963628117914,65.4405770363,358.229697674,F4+44.1c
167,0.969433106576,65.5354100978,360.197382783,F#4-46.5c
168,0.975238095238,65.6317269376,362.206918116,F#4-36.8c
169,0.9810430839,65.7296327574,364.261096088,F#4-27.0c
170,0.986848072562,65.8292327591,366.362774311,F#4-17.1c
171,0.992653061224,65.9306321445,368.514878742,F#4-6.9c
172,0.998458049887,66.0339361155,370.720407045,F#4+3.4c
173,1.00426303855,65.7703691693,365.119221636,F#4-23.0c
174,1.01006802721,65.7498414745,364.686546794,F#4-25.0c
175,1.01587301587,65.7333820263,364.339991294,F#4-26.7c
176,1.02167800454,65.7208172344,364.075659886,F#4-27.9c
177,1.0274829932,65.7119735083,363.889725283,F#4-28.8c
178,1.03328798186,65.7066772576,363.778419914,F#4-29.3c
179,1.03909297052,65.7047548919,363.738028129,F#4-29.5c
180,1.04489795918,65.7060328207,363.764878829,F#4-29.4c
181,1.05070294785,65.7103374536,363.855338519,F#4-29.0c
182,1.05650793651,65.7174952001,364.005804757,F#4-28.3c
183,1.06231292517,65.7273324699,364.212699997,F#4-27.3c
184,1.06811791383,65.7396756724,364.472465804,F#4-26.0c
185,1.07392290249,65.7543512173,364.781557446,F#4-24.6c
186,1.07972789116,65.771185514,365.136438844,F#4-22.9c
187,1.08553287982,65.7900049723,365.533577883,F#4-21.0c
188,1.09133786848,65.8106360015,365.96944207,F#4-18.9c
189,1.09714285714,65.8329050114,366.44049455,F#4-16.7c
190,1.1029478458,65.8566384115,366.943190464,F#4-14.3c
191,1.10875283447,65.8816626112,367.473973654,F#4-11.8c
192,1.11455782313,65.9078040202,368.029273719,F#4-9.2c
193,1.12036281179,65.9348890481,368.605503415,F#4-6.5c
194,1.12616780045,65.9627441044,369.199056411,F#4-3.7c
195,1.13197278912,65.9911955987,369.806305388,F#4-0.9c
196,1.13777777778,66.0200699406,370.423600501,F#4+2.0c
197,1.14358276644,66.0491935395,371.0472682,F#4+4.9c
198,1.1493877551,66.0783928051,371.673610406,F#4+7.8c
199,1.15519274376,66.1074941469,372.298904062,F#4+10.7c
200,1.16099773243,66.1363239746,372.919401052,F#4+13.6c
201,1.16680272109,66.1647086976,373.531328493,F#4+16.5c
202,1.17260770975,66.1924747255,374.130889413,F#4+19.2c
203,1.17841269841,66.2194484679,374.714263804,F#4+21.9c
204,1.18421768707,66.2454563343,375.277610072,F#4+24.5c
205,1.19002267574,66.2703247344,375.817066875,F#4+27.0c
206,1.1958276644,66.2938800777,376.328755352,F#4+29.4c
207,1.20163265306,66.3159487737,376.808781756,F#4+31.6c
208,1.20743764172,66.336357232,377.253240481,F#4+33.6c
209,1.21324263039,66.3549318621,377.658217491,F#4+35.5c
